,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
262,2018,BTN,Bhutan,USA,United States of America,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
263,2018,AFG,Afghanistan,CAN,Canada,70.0,82.0,7.0,159.0,64.0,94.0,8.0,166.0,325.0
264,2018,SYR,Syrian Arab Rep.,IRL,Ireland,87.0,83.0,1.0,171.0,125.0,93.0,0.0,218.0,389.0
265,2018,IRQ,Iraq,BEL,Belgium,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
266,2018,ERI,Eritrea,USA,United States of America,459.0,411.0,11.0,881.0,573.0,418.0,14.0,1005.0,1886.0
267,2018,SDN,Sudan,FRA,France,204.0,187.0,10.0,401.0,210.0,174.0,11.0,395.0,807.0
268,2018,All others,All others,NZL,New Zealand,103.0,126.0,6.0,235.0,121.0,106.0,8.0,235.0,470.0
269,2018,COD,Dem. Rep. of the Congo,ISL,Iceland,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0
270,2018,SOM,Somalia,NLD,Netherlands,5.0,11.0,2.0,18.0,3.0,7.0,0.0,10.0,28.0
271,2018,SYR,Syrian Arab Rep.,ISL,Iceland,9.0,13.0,0.0,22.0,27.0,12.0,0.0,39.0,61.0
272,2018,SOM,Somalia,DEU,Germany,3.0,17.0,0.0,20.0,11.0,14.0,0.0,25.0,47.0
